price,postal_code,address,mls,bed,full_bath,half_bath,property_area,property_type,latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage
597900,T3P0K3,100 EVANSFIELD PL NW,A1046587,4,3,1.0,2467,house,51.177351,-114.110308,2012.0,8,14.94,2585.39,5468,1,1
319900,T2W1G1,10304 ELBOW DR SW,A1046733,3,1,,1040,house,50.961657,-114.084377,1961.0,59,9.29,1383.29,5500,1,1
349000,T3M1C3,110 CRAMOND PL SE,A1046724,3,2,1.0,1245,house,50.8934,-113.979031,2001.0,19,18.12,1509.12,2669,1,1
329900,T3L3C2,15 Toscana Gardens NW,A1046451,2,2,1.0,1345,townhouse,51.121067,-114.254993,2004.0,16,15.22,1426.53,na,0,1
334900,T3G4J5,155 Citadel Drive NW,A1044809,3,2,1.0,1389,townhouse,51.142426,-114.180925,1995.0,25,13.17,1448.15,2314,1,1
419900,T2N4Y8,202 - 1726 14 AVE NW,A1046716,2,2,,1092,condo,51.065463,-114.10179199999999,2003.0,17,3.0,1815.7,,0,1
299900,T3E6R4,3116 51 ST SW,A1046666,4,2,,821,house,51.026123,-114.160577,1979.0,41,6.41,1296.8,2820,1,1
224900,T3M2R1,312 - 10 MAHOGANY MEWS SE,A1046038,2,1,,615,condo,50.897224,-113.93975400000001,2017.0,3,18.93,972.5,,0,0
445000,T3G4L7,34 ARBOUR BUTTE RD NW,A1045967,3,2,1.0,1548,house,51.140205,-114.20016799999999,1997.0,23,13.78,1924.23,4069,1,1
949900,T2T3X9,3710 14A ST SW,A1046690,4,3,1.0,1845,house,51.021817999999996,-114.09590700000001,2013.0,7,3.0,4107.48,3132,1,1
299888,T3C3X6,402 - 77 SPRUCE PL SW,A1046854,2,2,,889,condo,51.042621000000004,-114.13671000000001,2008.0,12,4.4,1296.75,,0,0
635000,T3E4W3,44 GRAFTON DR SW,A1046785,4,3,,1292,house,51.015048,-114.14411499999999,1958.0,62,5.93,2745.82,5996,1,1
699000,T2M2H8,532 27 AVE NW,A1046430,4,3,1.0,1772,house,51.077191,-114.07325900000001,2006.0,14,3.59,3022.56,3014,1,1
235000,T2V2W3,611 - 8880 HORTON RD SW,A1045446,1,1,,723,condo,50.975173999999996,-114.073925,2010.0,10,7.76,1016.17,,0,1
328800,T2Z5B9,628 Copperpond Boulevard SE,A1046507,3,2,1.0,1451,townhouse,50.924331,-113.921995,2014.0,6,17.12,1421.77,1442,0,1
339900,T1Y4E8,7172 TEMPLE DR NE,A1046765,5,2,1.0,1066,house,51.091128999999995,-113.95614099999999,1979.0,41,9.71,1469.77,4790,1,1
450000,T3H1L3,72 STRATHCONA CLOSE SW,A1045577,4,2,1.0,1082,house,51.046104,-114.165796,1980.0,40,6.42,1945.86,4618,1,0
144900,T3A2E6,808 - 4944 DALTON DR NW,A1046812,2,1,,790,condo,51.102488,-114.154494,1977.0,43,8.52,626.57,,0,0
629900,T3L0A7,94 TUSCANY RESERVE RISE NW,A1044112,3,2,1.0,2159,house,51.135815,-114.25481699999999,2006.0,14,16.18,2723.77,5490,1,1
399900,T2V1S4,9608 24 ST SW,A1046388,4,1,1.0,1303,house,50.969084,-114.117433,1968.0,52,8.97,1729.22,7922,1,1
